pickup_location,destination_location,num_stops,distance_km,duration_min,actual_eta_min,weather,time_of_day,traffic_level
Hyderabad,Warangal,2,140.0,160.0,150.0,Clear,Afternoon,Moderate
Chennai,Pondicherry,0,160.0,135.0,132.0,Rainy,Morning,Heavy
Ahmedabad,Udaipur,3,260.0,320.0,310.0,Cloudy,Evening,Light
Kolkata,Howrah,0,15.0,25.0,22.0,Clear,Morning,Light
Nagpur,Amravati,1,160.0,140.0,135.0,Clear,Night,Moderate
Noida,Gurgaon,1,55.0,120.0,140.0,Foggy,Morning,Heavy
Michellefurt,Port Lee,2,214.16,299.75,269.81,Cloudy,Night,Light
Zacharyborough,North Bruceberg,1,394.3,498.35,534.75,Cloudy,Evening,Moderate
Port Brandiberg,Jerrymouth,0,117.47,154.66,152.83,Cloudy,Evening,Moderate
West Gabrielview,Christopherfort,2,184.77,251.34,265.84,Foggy,Afternoon,Moderate
West April,North Wendybury,3,272.81,300.99,297.19,Clear,Afternoon,Heavy
Port Williamfurt,Lake Amyview,0,339.38,501.05,463.2,Foggy,Afternoon,Heavy
Jennyland,Castanedamouth,3,78.6,107.5,103.61,Clear,Night,Heavy
Patelmouth,South Ronald,1,357.04,405.42,371.22,Cloudy,Morning,Moderate
Lake Andrewland,Millerborough,3,493.03,624.61,651.5,Foggy,Morning,Moderate
Brianchester,West Veronica,1,341.11,424.8,398.24,Foggy,Evening,Light
Port Taraberg,Port Joanneland,0,30.32,36.2,37.55,Cloudy,Afternoon,Moderate
Davidport,West Franciscoborough,0,83.69,115.16,113.18,Foggy,Evening,Moderate
Shanefort,Jamieborough,3,421.63,521.51,504.9,Cloudy,Afternoon,Light
North Shawnfort,Danielshire,0,41.09,57.52,61.41,Rainy,Evening,Heavy
North Traceyside,East Alisonstad,1,292.96,297.71,273.17,Foggy,Night,Moderate
New Joshua,Lake Jacobmouth,0,287.13,412.6,425.19,Cloudy,Night,Light
Gonzalezborough,East Maria,2,265.7,378.18,404.45,Cloudy,Night,Heavy
Michaelshire,East Brandonfurt,3,146.27,157.64,161.42,Clear,Afternoon,Moderate
Heatherton,Craigstad,1,269.57,284.63,310.51,Clear,Morning,Moderate
New Timothy,Aprilmouth,0,444.64,468.84,448.34,Cloudy,Afternoon,Moderate
North Keithside,Christopherview,1,104.08,121.01,124.35,Clear,Afternoon,Heavy
Macdonaldville,South Angelastad,2,34.75,47.29,48.05,Clear,Evening,Light
Lake Marie,South Kevinland,1,282.59,354.12,328.29,Rainy,Night,Moderate
South Kristenburgh,New Darrellfurt,3,333.09,473.24,447.14,Clear,Morning,Heavy
West Johnnyton,East Aliciamouth,3,374.66,475.67,462.86,Rainy,Night,Heavy
Brownshire,Kristinatown,0,255.84,287.33,307.4,Rainy,Afternoon,Light
East Madison,Smithborough,1,332.02,495.94,541.21,Foggy,Morning,Light
East Amandastad,Mcgeechester,1,215.25,252.76,256.48,Rainy,Night,Heavy
Port Lisa,Lake William,3,367.83,477.47,434.01,Foggy,Morning,Light
West Carol,North Michaelport,1,412.44,585.2,631.01,Clear,Morning,Moderate
